_id,id,id_field,type,street,pavement,route_ahead,route_back,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
35,927216407,10028,Stop Bar,BAXTER ST,17097,BRUSHTON AVE,N BRADDOCK AVE,Homewood North,9,13,42003130200,2,13,5,3-17,40.45650663,-79.88786693
36,1737850267,10029,Stop Bar,BRUSHTON AVE,15705,RACE ST,BAXTER ST,Homewood North,9,13,42003130200,2,13,5,3-17,40.45659797,-79.88778345
37,1308677189,1003,Crosswalk - Continental,BEELER ST,19514,PENTON RD,FORBES AVE,Squirrel Hill North,8,14,42003140100,3,14,4,2-26,40.44396477,-79.93867345
38,312527078,10030,Stop Bar,,9112,LLEWELLYN PL,MEADOW ST,Larimer,9,12,42003120400,2,12,5,3-12,40.46109717,-79.9097003
39,1249673392,10031,Stop Bar,,11273,MEADOW ST,CARVER ST,Larimer,9,12,42003120800,2,12,5,3-12,40.4609987,-79.90987146
40,1544215928,10032,Crosswalk - Two Lined,,6562,LARIMER AVE,INDIANA WAY,Larimer,9,12,42003120800,2,12,5,3-10,40.46435389,-79.91607377
41,75070274,10033,Stop Bar,,6562,LARIMER AVE,INDIANA WAY,Larimer,9,12,42003120800,2,12,5,3-10,40.46438898,-79.91611954
42,858762507,10034,Crosswalk - Two Lined,,5682,CARVER ST,MAYFLOWER ST,Larimer,9,12,42003120800,2,12,5,3-10,40.46435183,-79.91596494
43,2106222190,10035,Crosswalk - Two Lined,,6792,BRADEN WAY,LARIMER AVE,Larimer,9,12,42003120800,2,12,5,3-10,40.46428526,-79.91597248
44,535014123,10036,Crosswalk - Two Lined,,8365,MAYFLOWER ST,AUBURN ST,Larimer,9,12,42003120800,2,12,5,3-10,40.46428296,-79.91607826
45,283859306,10037,Crosswalk - Two Lined,,8365,MAYFLOWER ST,AUBURN ST,Larimer,9,12,42003120800,2,12,5,3-10,40.46388248,-79.91671109
46,558939677,10038,Crosswalk - Two Lined,,10269,ASHLEY ST,LARIMER AVE,Larimer,9,12,42003120800,2,12,5,3-10,40.46380596,-79.91672015
47,1335206257,10039,Stop Bar,,10269,ASHLEY ST,LARIMER AVE,Larimer,9,12,42003120800,2,12,5,3-10,40.46380136,-79.91668243
48,1159710354,1004,Crosswalk - Two Lined,BEELER ST,16024,WILKINS AVE,BEELERMONT PL,Squirrel Hill North,8,14,42003140100,3,14,4,2-26,40.44563247,-79.93134164
49,1748536223,10040,Stop Bar,,19352,AUBURN ST,EAST LIBERTY BLVD,Larimer,9,12,42003120800,2,12,5,3-10,40.46377178,-79.91683246
50,1431576985,10041,Crosswalk - Two Lined,,10947,KALIDA DR,STATION ST,East Liberty,9,11,42003111500,2,11,5,3-10,40.46277125,-79.91843737
51,19081564,10042,Crosswalk - Continental,,20216,IPSWICH CT,JENNINGS CT,East Liberty,9,11,42003111500,2,11,5,3-10,40.46051522,-79.91878639
52,152712101,10043,Crosswalk - Continental,,19039,ENRIGHT CT,IPSWICH CT,East Liberty,9,12,42003111500,2,12,5,3-10,40.46066289,-79.91672257
53,1780181945,10044,Stop Bar,,179072,EDGERTON AVE,REYNOLDS ST,Point Breeze,8,14,42003140400,3,14,4,2-17,40.4505132,-79.91469298
54,1448638862,10045,Stop Bar,,17938,HASTINGS ST,GETTYSBURG ST,Point Breeze,8,14,42003140400,3,14,4,2-17,40.45052008,-79.91448376
55,1560752890,10046,Stop Bar,,18439,GETTYSBURG ST,SELWYN ST,Point Breeze,8,14,42003140400,3,14,4,2-17,40.45065717,-79.91459206
56,1213195189,10047,Stop Bar,REYNOLDS ST,17938,HASTINGS ST,GETTYSBURG ST,Point Breeze,8,14,42003140400,3,14,4,2-17,40.45024854,-79.9140511
57,1886507114,10048,Stop Bar,HASTINGS ST,8146,REYNOLDS ST,ELYSIAN ST,Point Breeze,8,14,42003140400,3,14,4,2-17,40.4503113,-79.91386669
58,1531374976,10049,Stop Bar,HASTINGS ST,11199,LACY WAY,HASTINGS ST,Point Breeze,8,14,42003140400,3,14,4,2-17,40.4501794,-79.9138278
59,216672403,1005,Crosswalk - Continental,FORBES AVE,18871,MOREWOOD AVE,S CRAIG ST,Squirrel Hill North,8,14,42003140100,3,14,4,2-9,40.44460148,-79.94476179
60,1300374838,10050,Stop Bar,HASTINGS ST,10675,EDGERTON AVE,REYNOLDS ST,Point Breeze,8,14,42003140400,3,14,4,2-17,40.45013038,-79.91397923
61,2076801135,10051,Stop Bar,,9844,SOLWAY ST,WILKINS AVE,Squirrel Hill North,8,14,42003140300,3,14,4,2-18,40.44365481,-79.92045757
62,1666865302,10052,Crosswalk - Continental,,15002,RONALD ST,ALGER ST,Greenfield,5,15,42003151700,3,15,4,2-12,40.42706407,-79.93865803
63,365618628,10053,Stop Bar,GREENFIELD BRG,19116,BEECHWOOD BLVD,ALGER ST,Greenfield,5,15,42003151700,3,15,4,2-12,40.42715955,-79.93862275
64,102513552,10054,Stop Bar,RONALD ST,16759,DONEGAL WAY,BEECHWOOD BLVD,Greenfield,5,15,42003151700,3,15,4,2-12,40.42688973,-79.93854983
65,1742660341,10055,Crosswalk - Two Lined,GREENFIELD AVE,14216,GREENFIELD AVE,MONTEIRO ST,Greenfield,5,15,42003151700,3,15,4,2-12,40.42442191,-79.9358771
66,224704614,10056,Stop Bar,,10015,BEECHWOOD BLVD,MURRAY AVE,Greenfield,5,15,42003151700,3,15,4,2-12,40.41957842,-79.92735558
67,997125178,10057,Crosswalk - Continental,,17584,BAKERY SQUARE BLVD,EAST LIBERTY BLVD,Shadyside,8,7,42003070800,2,7,4,3-13,40.45740656,-79.91732942
68,1210296646,10058,Crosswalk - Two Lined,,1414,CRAFT AVE,OPHELIA ST,South Oakland,3,4,42003040900,3,4,4,2-10,40.43468157,-79.96203686
69,641876747,10059,Stop Bar,FORBES AVE,6385,BRADY ST,MOULTRIE ST,Bluff,6,4,42003010300,3,4,2,2-1,40.43715372,-79.9736514
70,356629441,1006,Crosswalk - Continental,FIFTH AVE,5942,MOREWOOD AVE,DEVONSHIRE RD,Shadyside,8,14,42003140100,2,14,4,2-26,40.44742668,-79.94254791
71,423841804,10060,Stop Bar,FORBES AVE,15223,FORBES AVE RAMP,FORBES AVE RAMP,South Oakland,6,4,42003040900,3,4,4,2-1,40.43710015,-79.97251597
72,1392649509,10061,Stop Bar,,16028,FORBES AVE,WATSON ST,Bluff,6,1,42003010300,3,1,2,2-1,40.4375236,-79.97952366
73,990113544,10062,Stop Bar,,18742,TUSTIN ST,FORBES AVE,Bluff,6,1,42003010300,3,1,2,2-1,40.43732323,-79.9794856
74,658383342,10063,Stop Bar,N EUCLID AVE,6177,N EUCLID AVE,N ST CLAIR ST,East Liberty,9,11,42003111500,2,11,5,3-8,40.4646318,-79.92668765
75,1440144844,10064,Stop Bar,BRYANT ST,11132,FARRAGUT ST,N HIGHLAND AVE,Highland Park,7,11,42003110600,2,11,5,3-9,40.47453288,-79.91861368
76,1465687642,10065,Stop Bar,BAKER ST,17059,JANCEY ST,MORNINGSIDE AVE,Morningside,7,10,42003101400,2,10,5,3-7,40.48809264,-79.9246954
77,949054886,10066,Stop Bar,MCCANDLESS AVE,13224,CARNEGIE ST,DRESDEN WAY,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48108244,-79.95278158
78,181551443,10067,Stop Bar,MCCANDLESS AVE,2503,NATRONA WAY,CARNEGIE ST,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.4810187,-79.95257908
79,433310865,10068,Stop Bar,43RD ST,5783,BUTLER ST,EDEN WAY,Central Lawrenceville,7,9,42003090100,2,9,2,3-3,40.47067861,-79.96044692
80,912903058,10069,Stop Bar,43RD ST,5763,PLEASANT ST,BUTLER ST,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.4705577,-79.96023134
81,1663611177,1007,Crosswalk - Continental,FIFTH AVE,16110,CANTERBURY LN,MOREWOOD AVE,Shadyside,8,14,42003140100,2,14,4,2-26,40.44743791,-79.94234942
82,416996898,10070,Stop Bar,39TH ST,16543,OBREGON ST,BUTLER ST,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46749942,-79.96361211
83,1408119009,10071,Stop Bar,39TH ST,17184,BUTLER ST,MINERAL WAY,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46760833,-79.96384747
84,1028358107,10072,Stop Bar,15TH ST,9679,MULBERRY WAY,SMALLMAN ST,Strip District,7,2,42003020300,6,2,2,2-3,40.44858454,-79.98922498
85,1786737929,10073,Crosswalk - Two Lined,,1762,DECATUR ST,LIVERPOOL ST,Manchester,6,21,42003210700,1,21,1,1-8,40.45595739,-80.02159531
86,1366825885,10074,Crosswalk - Two Lined,,2052,BIDWELL ST,ALLEGHENY AVE,Manchester,6,21,42003210700,1,21,1,1-8,40.45589455,-80.02151167
87,397322269,10075,Crosswalk - Two Lined,,7843,LIVERPOOL ST,WARLO ST,Manchester,6,21,42003210700,1,21,1,1-8,40.45581393,-80.02155257
88,594793202,10076,Crosswalk - Two Lined,,11198,SEDGWICK ST,BIDWELL ST,Manchester,6,21,42003210700,1,21,1,1-8,40.45587414,-80.02163354
89,250310023,10077,Stop Bar,COLUMBUS AVE,14874,CHATEAU ST,GEORGE WAY,Manchester,6,21,42003210700,1,21,1,1-8,40.4573832,-80.02931832
90,716066147,10078,Stop Bar,,179378,ISLAND AVE,BEAVER AVE,Marshall-Shadeland,1,27,42003980900,1,27,1,1-8,40.46205663,-80.03237838
91,1482222975,10079,Stop Bar,,6880,FLEMING AVE,DEAD END,Brighton Heights,1,27,42003270300,1,27,1,1-14,40.47977934,-80.03896854
92,2022017361,1008,Crosswalk - Continental,FIFTH AVE,19474,AMBERSON AVE,CANTERBURY LN,Shadyside,8,14,42003070900,2,14,4,2-26,40.44769305,-79.93895509
93,1979602385,10080,Stop Bar,CALIFORNIA AVE,15730,TERMON AVE,VERNER AVE,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48177768,-80.0415881
94,1551380070,10081,Stop Bar,CALIFORNIA AVE,15730,TERMON AVE,VERNER AVE,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48183684,-80.04155507
95,475664116,10082,Stop Bar,VIRUTH ST,13733,BRIGHTON RD,MCCLURE AVE,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48636567,-80.03685017
96,1065616582,10083,Stop Bar,SEBRING AVE,13018,BEECHVIEW AVE,FALLOWFIELD AVE,Beechview,4,19,42003191600,5,19,6,4-28,40.41298312,-80.02394495
97,492417573,10084,Stop Bar,SEBRING AVE,14015,BROADWAY AVE,SEBRING AVE,Beechview,4,19,42003191600,5,19,6,4-28,40.41293334,-80.02382845
98,1019990977,10085,Stop Bar,SEBRING AVE,11303,FALLOWFIELD AVE,DAGMAR AVE,Beechview,4,19,42003191600,5,19,6,4-28,40.41303648,-80.02376592
99,581782094,10086,Stop Bar,SEBRING AVE,11908,SEBRING AVE,BAYONNE AVE,Beechview,4,19,42003191600,5,19,6,4-28,40.41310375,-80.02387898
100,2128886491,10087,Stop Bar,SEBRING AVE,6055,ALTON ST,ROCKLAND AVE,Beechview,4,19,42003191600,5,19,6,4-28,40.41311889,-80.02097617
101,172501207,10088,Stop Bar,SEBRING AVE,11822,SEBRING AVE,ANDICK WAY,Beechview,4,19,42003191600,5,19,6,4-28,40.41317403,-80.02110676
102,1573864961,10089,Stop Bar,SEBRING AVE,1833,KENBERMA AVE,ALTON ST,Beechview,4,19,42003191600,5,19,6,4-28,40.41307677,-80.02116936
103,952942741,1009,Crosswalk - Continental,FIFTH AVE,19473,WILKINS AVE,AMBERSON AVE,Squirrel Hill North,8,14,42003140100,3,14,4,2-26,40.44769612,-79.93878611
104,1510647627,10090,Stop Bar,SEBRING AVE,6055,ALTON ST,ROCKLAND AVE,Beechview,4,19,42003191600,5,19,6,4-28,40.41310511,-80.02030054
105,1274311757,10091,Stop Bar,SEBRING AVE,11579,ROCKLAND AVE,WESTFIELD ST,Beechview,4,19,42003191600,5,19,6,4-28,40.41314672,-80.02011546
106,1314004430,10092,Stop Bar,,12938,GREENCREST DR,WITT ST,Brookline,4,32,42003320600,5,32,6,4-25,40.3923415,-80.00538612
107,178241710,10093,Stop Bar,,5009,BELLAIRE PL,E ROSEVILLE ST,Brookline,4,32,42003320600,5,32,6,4-25,40.39243647,-80.00525056
108,1398433194,10094,Stop Bar,,17685,REAMER ST,GREENCREST DR,Brookline,4,32,42003320600,5,32,6,4-25,40.39225153,-80.0051218
109,1810746283,10095,Crosswalk - Continental,,14579,ELWYN AVE,MCNEILLY AVE,Overbrook,4,32,42003320700,5,32,3,4-25,40.37772917,-80.00386539
110,1803296717,10096,Stop Bar,PARKFIELD ST,30721,SPOKANE AVE,PARKFIELD ST,Carrick,4,29,42003290100,3,29,3,4-23,40.39148171,-79.99029399
111,368680653,10097,Stop Bar,PARKFIELD ST,30722,PARKFIELD ST,PARKFIELD ST,Carrick,4,29,42003290100,3,29,3,4-23,40.39145617,-79.99041486
112,1296585338,10098,Crosswalk - Continental,,15231,DELLROSE ST,BROWNSVILLE RD,Carrick,4,29,42003290100,3,29,3,4-12,40.40013543,-79.98920108
113,1883028055,10099,Stop Bar,,15231,DELLROSE ST,BROWNSVILLE RD,Carrick,4,29,42003290100,3,29,3,4-12,40.40011296,-79.98924233
114,227600497,101,Crosswalk - Two Lined,BIGELOW BLVD,15103,BLOOMFIELD BRG RAMP,HERRON AVE,Polish Hill,7,6,42003060500,3,6,2,2-24,40.45575846,-79.96583004
115,1156881128,1010,Crosswalk - Continental,FIFTH AVE,18869,ST JAMES ST,WILKINS AVE,Shadyside,8,14,42003070300,2,14,4,2-17,40.44784307,-79.93694343
116,815401427,10100,Stop Bar,THE BOULEVARD,3472,AMANDA ST,BROWNSVILLE RD,Carrick,4,29,42003290200,3,29,3,4-12,40.40113198,-79.98910302
117,1650561934,10101,Crosswalk - Two Lined,,5857,AMANDA ST,BROWNSVILLE RD,Carrick,4,29,42003290200,3,29,3,4-12,40.40567019,-79.99113392
118,272706387,10102,Crosswalk - Continental,,1147,SARAH ST,SARAH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42789939,-79.9885477
119,141224609,10103,Crosswalk - Continental,,5929,S 13TH ST,S 12TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4300901,-79.98546477
120,697166740,10104,Stop Bar,,5929,S 13TH ST,S 12TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43008027,-79.9854983
121,54760850,10105,Crosswalk - Continental,,6635,BINGHAM ST,MURIEL ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43003242,-79.98537207
122,1305512918,10106,Stop Bar,,6635,BINGHAM ST,MURIEL ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43000077,-79.98534206
123,542400498,10107,Stop Bar,,1901,S 14TH ST,S 13TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43011741,-79.98524735
124,1503321673,10108,Crosswalk - Continental,,1901,S 14TH ST,S 13TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43009367,-79.98528976
125,553326884,10109,Crosswalk - Continental,,788,MURIEL ST,FIEGER ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43014675,-79.98538146
126,1352130874,1011,Crosswalk - Two Lined,ELLSWORTH AVE,8238,MOREWOOD AVE,DEVONSHIRE ST,Shadyside,8,7,42003070900,2,7,4,3-22,40.45088025,-79.94311386
127,1463997130,10110,Stop Bar,,788,MURIEL ST,FIEGER ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43017317,-79.98541582
128,550779793,10111,Crosswalk - Continental,,8153,BINGHAM ST,MURIEL ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43006751,-79.98415067
129,1965295929,10112,Crosswalk - Continental,,337,S 16TH ST,S 15TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43014512,-79.98270774
130,1186371340,10113,Crosswalk - Continental,,1406,MURIEL ST,FRANKLIN CT,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43020585,-79.9826385
131,1972950578,10114,Stop Bar,,1406,MURIEL ST,FRANKLIN CT,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43023776,-79.98266215
132,192631609,10115,Crosswalk - Continental,,1787,S 17TH ST,S 16TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4301441,-79.98259123
133,863413276,10116,Crosswalk - Continental,,1787,S 17TH ST,S 16TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4300854,-79.98265645
134,1883151957,10117,Stop Bar,,4452,SIDNEY ST,MURIEL ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43003952,-79.98191578
135,489041033,10118,Crosswalk - Continental,,1365,S 18TH ST,S 17TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43019177,-79.98183615
136,1467161061,10119,Crosswalk - Continental,,20186,FOX WAY,FRANKLIN CT,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43022699,-79.98189566
137,44237326,1012,Crosswalk - Two Lined,ELLSWORTH AVE,7710,SHADYSIDE LN,MOREWOOD AVE,Shadyside,8,7,42003070900,2,7,4,3-22,40.45090576,-79.94296902
138,131769223,10120,Stop Bar,,20186,FOX WAY,FRANKLIN CT,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43024359,-79.98191394
139,2036447832,10121,Stop Bar,WHARTON ST,2375,S 18TH ST,S 17TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43054145,-79.98049726
140,258901839,10122,Stop Bar,S 18TH ST,2626,FOX WAY,WHARTON ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43046719,-79.98035578
141,202728310,10123,Stop Bar,WHARTON ST,16504,S 19TH ST,S 18TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43058357,-79.98025218
142,1495765430,10124,Stop Bar,S 18TH ST,11887,WHARTON ST,MERRIMAN ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43065196,-79.98039568
143,1950046333,10125,Crosswalk - Continental,,17764,WHARTON ST,MERRIMAN ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43053093,-79.97894094
144,1102008901,10126,Stop Bar,,17764,WHARTON ST,MERRIMAN ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43056079,-79.97897363
145,1715906751,10127,Stop Bar,,787,S 20TH ST,S 19TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43048831,-79.97881756
146,1341575626,10128,Crosswalk - Continental,,787,S 20TH ST,S 19TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43046917,-79.97885293
147,1464738735,10129,Crosswalk - Continental,,7922,FOX WAY,WHARTON ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43039082,-79.97896641
148,1379881527,1013,Crosswalk - Continental,BAYARD ST,15901,MOREWOOD AVE,COVENTRY RD,Shadyside,8,7,42003070900,2,7,4,3-22,40.45179973,-79.9434384
149,1254773197,10130,Stop Bar,,7922,FOX WAY,WHARTON ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.430363,-79.97893306
150,428290427,10131,Crosswalk - Continental,,16504,S 19TH ST,S 18TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43047044,-79.97903582
151,1191476102,10132,Stop Bar,,16504,S 19TH ST,S 18TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43045769,-79.97908259
152,417685267,10133,Crosswalk - Continental,,787,S 20TH ST,S 19TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43039184,-79.97753898
153,1880648651,10134,Stop Bar,,787,S 20TH ST,S 19TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43036785,-79.97757167
154,319519755,10135,Stop Bar,,15772,FOX WAY,WHARTON ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43029154,-79.97742163
155,2008533645,10136,Crosswalk - Continental,,15772,FOX WAY,WHARTON ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43031757,-79.97745399
156,1639246690,10137,Crosswalk - Continental,,16758,S 21ST ST,S 20TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43038954,-79.97733715
157,1326897126,10138,Stop Bar,,16758,S 21ST ST,S 20TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4304055,-79.9772902
158,1005660915,10139,Crosswalk - Continental,,16758,S 21ST ST,S 20TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4304547,-79.97741838
159,1158049185,1014,Crosswalk - Continental,BAYARD ST,19561,AMBERSON AVE,MOREWOOD AVE,Shadyside,8,7,42003070900,2,7,4,3-22,40.45183384,-79.94328382
160,152947481,10140,Crosswalk - Continental,,12429,FOX WAY,WHARTON ST,South Side Flats,3,16,42003170200,3,16,3,4-24,40.43023241,-79.97608532
161,1574576224,10141,Stop Bar,,12429,FOX WAY,WHARTON ST,South Side Flats,3,16,42003170200,3,16,3,4-24,40.43020357,-79.9760429
162,1702508805,10142,Stop Bar,,16011,S 22ND ST,S 21ST ST,South Side Flats,3,16,42003160900,3,16,3,4-24,40.43031969,-79.97590662
163,789516722,10143,Crosswalk - Continental,,16011,S 22ND ST,S 21ST ST,South Side Flats,3,16,42003160900,3,16,3,4-24,40.43029697,-79.97594199
164,559906134,10144,Crosswalk - Continental,,10555,WHARTON ST,MERRIMAN WAY,South Side Flats,3,16,42003160900,3,16,3,4-24,40.43036537,-79.97600083
165,784727516,10145,Stop Bar,,10555,WHARTON ST,MERRIMAN WAY,South Side Flats,3,16,42003170200,3,16,3,4-24,40.43038068,-79.97601508
166,189152939,10146,Crosswalk - Continental,,16758,S 21ST ST,S 20TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4303054,-79.97613293
167,1603688737,10147,Stop Bar,,16758,S 21ST ST,S 20TH ST,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43029034,-79.97621491
168,1763010154,10148,Stop Bar,,16011,S 22ND ST,S 21ST ST,South Side Flats,3,16,42003160900,3,16,3,4-24,40.43019234,-79.97456434
